,id,Video,ahash,phash,dhash,whash,colorhash,a,lc,ham_dist,dif
78,d76,augment67,e0d1e3e32323373f,a7785e63d3626322,0927078e4e4e6c70,e091e1e32323373f,06c00440000,152,609,0.15625,1
79,d77,augment68,018fc787e3d3cee0,b71f5a09671344e3,5b3c0c4ec6969c4d,0187c787e3d3cee0,6600600000,156,625,0.421875,1
80,d78,augment69,0367e1e7e7c9eb73,e1760d39866d6b61,46cfcb8c8c9b92e6,0061e1e7c7c1eb73,06c00440000,143,572,0.46875,-1
81,d79,augment70,1f270d04c2e2fffc,960b8fe55a88e9d1,fb6eb92d8486a478,1f070d04c2e2ffbc,06c00240000,142,568,0.53125,-1
82,d80,augment71,0f170fc5e4e6fe3c,96380df65a9b3591,3fb73e2d8d0cecf0,0f170785e4e4f63c,6600400000,143,572,0.46875,-1
83,d81,augment72,038fc787e3d3cfe7,b71f1b0d471344e3,5b3d0c4c4696184d,0187c783e3d3c7e1,06c00440000,157,627,0.453125,1
84,d82,augment73,c0c6a7e7e393dfce,b463586c71986ed3,950e4e4e4e263698,c08287e7e3939fc8,6600400000,156,624,0.40625,1
85,d83,augment74,80f0e3e1c7dbf307,e04e071c3265bdb7,24c1c7853d32c68d,80f0e2e1c7cbf307,7600600000,158,630,0.5,1
86,d84,augment75,07e9c7e7c5c1e9f9,fb340d3284357e3c,9e8b9f0c8d89db93,0741c3c7c5c1e9f9,06c00240000,157,628,0.46875,1
87,d85,augment76,87878787e3d3cfce,b5361a6c431c6fb1,3d1c4c5ecea6969c,04878787e3d3cfc4,06c00240000,144,577,0.390625,-1
88,d86,augment77,f0c0e3e3a7a7a73e,e768483e18e3c96e,1316c64e6e4e6c68,e0c0e0a3a7a7a73e,07c00400000,155,622,0.359375,1
89,d87,augment78,e0e3a3e7a3b39f9f,af61586351e1671b,0b2627164e666538,c0e283e3a3a3979e,6600440000,152,608,0.140625,1
90,d88,augment79,070bcfc7c4e4fcfc,f2290b72f4b370d8,dc5b1b0c8c8cc8e4,070b83c7c4e4fc7c,7600400000,144,575,0.421875,-1
91,d89,augment80,f0f0f2f3a7a73f3c,e76049be84c5a59d,061106266c4d6870,f0e0e0a2a7a73e3c,6600600000,156,623,0.375,1
92,d90,augment81,0f070fc5e5e4fc7c,b2391d62d9b271d1,9d779e8d8dcdcdf0,0f0707c5e5e4747c,6600600000,143,573,0.453125,-1
93,d91,augment82,f4f4b02163c7cfff,c34ede30031f4dd5,490962cb9f9c9ac3,e0e4b0204347cfff,06c00240000,142,567,0.546875,-1
94,d92,augment83,07c1c7e7c5c5edf9,f2350b3284b57e3c,9f9b9f0e8d8999c1,0701c3c7c5c5e9f9,07c00440000,158,630,0.5,1
